population2021,assault_rate2017,assault_rate2018,assault_rate2019,assault_rate2020,assault_rate2021,auto_theft_rate2017,auto_theft_rate2018,auto_theft_rate2019,auto_theft_rate2020,auto_theft_rate2021,break_and_enter_rate2017,break_and_enter_rate2018,break_and_enter_rate2019,break_and_enter_rate2020,break_and_enter_rate2021,robbery_rate2017,robbery_rate2018,robbery_rate2019,robbery_rate2020,robbery_rate2021,theft_over_rate2017,theft_over_rate2018,theft_over_rate2019,theft_over_rate2020,theft_over_rate2021,homicide_rate2017,homicide_rate2018,homicide_rate2019,homicide_rate2020,homicide_rate2021,shootings_rate2017,shootings_rate2018,shootings_rate2019,shootings_rate2020,shootings_rate2021,theftfrom_motor_vehicle_rate2017,theftfrom_motor_vehicle_rate2018,theftfrom_motor_vehicle_rate2019,theftfrom_motor_vehicle_rate2020,theftfrom_motor_vehicle_rate2021
10871,653.9719,561.21,696.6673,466.0266,588.7223,57.7034,104.6324,84.7298,74.56426,73.59029,96.17234,85.60829,84.7298,93.20533,91.98785,86.55511,85.60829,141.2163,65.24373,18.39757,9.617234,9.512033,18.82885,18.64107,36.79514,NA,NA,NA,NA,NA,9.617234,38.04813,NA,18.64107,18.39757152,192.3447,190.2407,207.1173,177.0901,183.9757152
12505,330.924,314.5991,315.4051,186.6126,255.8976,217.7131,127.5402,157.7025,186.6126,159.936,269.9643,246.5777,190.9031,73.02232,127.9488,43.54263,42.51339,33.20053,16.22718,7.996801,52.25115,25.50804,41.50066,8.11359,39.984,8.708526,NA,NA,NA,15.99360256,26.12558,25.50804,58.10093,NA,39.9840064,200.2961,297.5938,116.2019,283.9756,263.8944422
16289,792.3323,639.0787,746.5027,752.8153,626.1895,134.1853,158.1878,94.09698,99.54582,110.504,306.7093,474.5634,595.9476,423.0697,411.3205,159.7444,158.1878,150.5552,149.3187,73.66935,76.67731,31.63756,62.73132,24.88646,49.1129,NA,NA,NA,NA,NA,19.16933,12.65502,18.8194,6.221614,12.27822457,389.7764,348.0132,288.5641,323.5239,263.9818282
8579,1964.685,1700.722,1649.013,1019.803,1153.981,111.9125,134.5895,180.5489,83.00723,128.2201,795.822,893.1849,1107.366,711.4906,373.0038,298.4332,281.4144,156.4757,154.1563,116.5637,49.73887,244.7082,96.29273,59.29088,58.28185,NA,12.23541,12.03659,NA,NA,12.43472,NA,12.03659,NA,NA,1604.079,991.0682,878.6711,687.7742,256.4401445
18644,323.4593,408.3916,413.9758,283.3942,241.3645,107.8198,139.8601,149.0313,136.2472,203.8189,170.2417,234.965,198.7084,98.09799,107.2731,141.8681,100.6993,93.83452,76.29844,48.2729,22.6989,44.75525,33.11806,43.59911,21.45462,NA,5.594406,5.519678,NA,5.363655868,NA,5.594406,5.519678,NA,NA,119.1692,206.993,264.9445,168.9465,305.7283845
14869,711.7187,619.5615,632.7808,489.696,659.0894,105.7008,111.3818,158.1952,163.232,174.8604,119.7942,146.1887,96.29273,149.6293,100.881,239.5885,69.61365,110.0488,129.2253,73.97942,35.2336,6.961364,34.39026,20.404,20.1762,NA,20.88409,20.63416,6.801333,6.725401843,7.04672,27.84546,27.51221,6.801333,13.45080369,126.841,215.8023,199.4635,278.8546,221.9382608
27478,740.7407,761.306,617.3071,480.5737,509.4985,165.0355,310.5825,224.4753,269.8606,171.0459,337.7471,249.9811,213.2515,262.4672,138.2924,134.3312,140.1409,142.1677,88.72131,61.86768,15.35214,56.81388,29.93004,18.4836,14.5571,3.838035,7.575184,7.48251,NA,10.91782517,26.86625,26.51314,29.93004,25.87705,18.19637528,226.4441,238.6183,291.8179,417.7295,331.1740301
18056,164.9762,142.9593,197.594,181.6221,188.3031,109.9841,107.2194,133.6665,210.0006,160.6114,256.6296,268.0486,308.0142,130.5409,88.6132,18.33068,29.78318,17.43476,45.40553,NA,24.44091,29.78318,58.11588,5.675691,11.07665,NA,NA,NA,NA,NA,NA,NA,11.62318,5.675691,11.07665042,226.0785,137.0026,185.9708,158.9193,132.9198051
41010,686.3862,690.9035,746.025,644.282,719.3367,82.88438,109.6268,92.93914,156.1145,107.2909,233.1123,359.4738,467.2076,389.0472,231.6508,181.3096,147.8687,123.0816,96.6423,82.90661,20.72109,33.14297,20.09495,29.73609,24.3843,5.180274,5.098919,5.023737,NA,NA,7.77041,7.648378,7.535606,12.39004,7.315288954,297.8657,616.9692,512.4212,537.7277,170.6900756
26537,488.7429,678.3405,644.9106,700.7467,783.8113,136.207,205.0797,233.1002,237.4115,342.9174,348.5298,212.9673,205.9052,122.5349,131.8913,184.2801,110.4275,77.70008,88.07199,67.82982,72.1096,35.49456,46.62005,34.46295,33.91491,NA,NA,NA,NA,NA,NA,NA,NA,19.14608,3.768323473,212.3227,240.5742,341.8803,382.9217,312.7708482
